Date,Scrip,Open,High,Low,Close,Volume
20230117,ROBI,30,30,30,30,1250
20230117,RSRMSTEEL,19.1,19.1,19.1,19.1,48352
20230117,RUNNERAUTO,48.4,48.4,48.4,48.4,1400
20230117,RUPALIBANK,25.2,25.2,25.2,25.2,16776
20230117,RUPALIINS,27.3,27.9,27.3,27.5,262651
20230117,RUPALILIFE,85.4,88.8,84.1,87.5,534443
20230117,SAFKOSPINN,24.6,24.6,24.6,24.6,5562
20230117,SAIFPOWER,29.7,30.8,29.7,30.4,3888907
20230117,SAIHAMCOT,16.4,16.4,16.4,16.4,225172
20230117,SAIHAMTEX,21,22.3,21,21.1,1504490
20230117,SALAMCRST,33.3,33.3,33.3,33.3,5
20230117,SALVOCHEM,61.8,61.8,61.8,61.8,3789
20230117,SAMATALETH,60.1,62.6,60,61.7,43291
20230117,SAMORITA,69.2,70.6,69.2,70.3,69864
20230117,SANDHANINS,28.2,28.4,27.5,28.3,513240
20230117,SAPORTL,31.3,32.5,31.2,32.1,2543896
20230117,SAVAREFR,232,232,232,232,700
20230117,SBACBANK,10.6,10.6,10.6,10.6,10864
20230117,SEAPEARL,234.9,234.9,225.9,230,1000035
20230117,SEMLIBBLSF,8.5,8.5,8.5,8.5,110
20230117,SHAHJABANK,18.9,19,18.8,19,19289
20230117,SHASHADNIM,27,27,27,27,2871
20230117,SHEPHERD,24,24,24,24,1500
20230117,SHURWID,16.8,17.1,16.8,16.8,1755174
20230117,SHYAMPSUG,82.8,82.8,82.8,82.8,310
20230117,SIBL,12.3,12.3,12.3,12.3,12033
20230117,SILCOPHL,23.7,24.5,23.6,24.2,670958
20230117,SILVAPHL,21.6,21.6,21.6,21.6,64335
20230117,SIMTEX,15.9,16.8,15.9,16.3,656995
20230117,SINGERBD,151.9,151.9,151.9,151.9,703
20230117,SINOBANGLA,61.8,62.2,60.9,61.3,648532
20230117,SKICL,61.7,64.6,61.7,63.8,1371507
20230117,SKTRIMS,25.4,25.9,25.4,25.5,291954
20230117,SONALIANSH,425,434.9,417.9,420.6,30676
20230117,SONALILIFE,67.2,67.9,64.9,67,1242686
20230117,SONALIPAPR,615.1,615.1,615.1,615.1,6399
20230117,SONARBAINS,46.4,46.8,46.4,46.5,127071
20230117,SONARGAON,42.4,42.4,42.4,42.4,4121
20230117,SOUTHEASTB,13.8,13.8,13.8,13.8,197166
20230117,SPCERAMICS,43,43,43,43,43508
20230117,SPCL,65.5,65.5,65.5,65.5,38685
20230117,SQUARETEXT,67.5,67.5,67.5,67.5,3147
20230117,SQURPHARMA,209.8,209.8,209.8,209.8,16435
20230117,SSSTEEL,16.6,16.6,16.6,16.6,18901
20230117,STANCERAM,140,142,135.7,136.1,8715
20230117,STANDARINS,45.8,45.8,43.9,44.3,173083
20230117,STANDBANKL,8.8,8.8,8.8,8.8,4710
20230117,STYLECRAFT,97,97.7,95.3,95.5,41302
20230117,SUMITPOWER,34,34,34,34,2432
20230117,SUNLIFEINS,58.5,58.5,58.5,58.5,391507
20230117,TAKAFULINS,41.3,42.9,41.3,42.6,59073
20230117,TALLUSPIN,9.9,9.9,9.9,9.9,1004
20230117,TAMIJTEX,178.3,178.3,178.3,178.3,10108
20230117,TITASGAS,40.9,40.9,40.9,40.9,1481
20230117,TOSRIFA,20.8,21.8,20.8,21.4,1482322
20230117,TRUSTB1MF,5.6,5.6,5.6,5.6,1565
20230117,TRUSTBANK,34.9,38.3,34.9,34.9,82947
20230117,TUNGHAI,5.8,5.8,5.8,5.8,1420
20230117,UCB,13,13,13,13,2970
20230117,UNILEVERCL,2849,2849,2849,2849,223
20230117,UNIONBANK,9.3,9.3,9.3,9.3,7134
20230117,UNIONCAP,9.9,9.9,9.9,9.9,2990
20230117,UNIONINS,38.9,39.7,38.9,39.2,478776
20230117,UNIQUEHRL,64.1,64.9,63.6,64,1272694
20230117,UNITEDFIN,15.8,15.8,15.8,15.8,32800
20230117,UNITEDINS,41.4,41.4,40.6,40.7,46563
20230117,UPGDCL,233.7,233.7,233.7,233.7,136
20230117,USMANIAGL,63.1,63.1,63.1,63.1,4079
20230117,UTTARABANK,23.3,23.5,23.3,23.4,313837
20230117,UTTARAFIN,33.8,33.8,33.8,33.8,475
20230117,VFSTDL,22.2,22.2,22.2,22.2,1
20230117,WALTONHIL,1047.7,1047.7,1047.7,1047.7,11
20230117,WATACHEM,200.2,200.2,200.2,200.2,383
20230117,WMSHIPYARD,11,11,11,11,11090
20230117,YPL,17.5,19.3,17.5,19.1,2789682
20230117,ZAHEENSPIN,11.1,11.1,11.1,11.1,451
20230117,ZAHINTEX,9,9,9,9,6118
20230117,ZEALBANGLA,156.5,156.5,156.5,156.5,12
